,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
5902,BORDEN AWOS,ONTARIO,611B002,29516,71534.0,YBN,44.27,-79.91,441620000,-795442000,222.5,2000,2019,2005.0,2019.0,2000.0,2019.0,,
5906,EGBERT CS,ONTARIO,611E001,27604,71296.0,XET,44.23,-79.78,441400000,-794700000,251.0,2000,2019,2000.0,2019.0,2000.0,2019.0,2003.0,2006.0
5927,CYPRUS LAKE CS,ONTARIO,6121940,27531,,XCY,45.23,-81.53,451400000,-813200000,190.0,1995,2009,2000.0,2009.0,1995.0,2009.0,1995.0,2006.0
5967,SARNIA,ONTARIO,6127510,48373,71704.0,YZR,43.0,-82.31,425958000,-821832000,181.4,2009,2019,2009.0,2019.0,2009.0,2019.0,,
5970,SARNIA CHRIS HADFIELD A,ONTARIO,6127518,44004,,,43.0,-82.31,425958000,-821832000,181.0,2005,2011,2005.0,2010.0,2005.0,2011.0,2005.0,2006.0
5971,SARNIA CLIMATE,ONTARIO,6127519,44323,71746.0,TZR,43.0,-82.3,430000000,-821800000,181.0,2005,2019,2005.0,2019.0,2006.0,2019.0,,
5983,TOBERMORY RCS,ONTARIO,6128330,45607,71767.0,TTR,45.23,-81.63,451400000,-813800000,213.5,2007,2019,2007.0,2019.0,2007.0,2019.0,,
6006,CHATHAM KENT,ONTARIO,6131414,52118,,YCK,42.31,-82.08,421821000,-820457000,196.6,2014,2019,2014.0,2019.0,2018.0,2019.0,,
6036,HARROW CDA AUTO,ONTARIO,6133362,30266,71298.0,XHA,42.03,-82.9,420200000,-825400000,191.0,2000,2019,2000.0,2019.0,2000.0,2019.0,2000.0,2006.0
6055,PA ATMOS FENWICK,ONTARIO,6136285,52743,,A0T,43.05,-79.37,430303980,-792154620,193.0,2014,2015,2014.0,2015.0,,,,
6056,PA ROYAL CANADIAN HENLEY,ONTARIO,6136290,52734,,Z4W,43.19,-79.27,431137600,-791615800,90.5,2014,2015,2014.0,2015.0,,,,
6057,PA VINELAND STONEY RIDGE,ONTARIO,6136300,52722,,L6B,43.15,-79.38,430857100,-792257200,112.5,2014,2015,2014.0,2015.0,,,,
